Domain, istatcom, iref, igvsc, Iload
5.073,0.0,0.300256722524,0.30078112478,0.316372558629
5.074,0.0,0.297031388143,0.358460251304,0.254546195587
5.075,0.0,0.301038491868,0.332047092139,0.263242269661
5.076,0.0,0.306458105975,0.260904098923,0.329450506667
5.077,0.0,0.305063455559,0.250795115779,0.354735938944
5.078,0.0,0.299076332211,0.31677999234,0.301463551704
5.079,0.0,0.297316703709,0.360658932384,0.248919856871
5.08,0.0,0.302403543198,0.317188707661,0.275247698409
5.081,0.0,0.306847219711,0.251076959069,0.341232077186
5.082,0.0,0.303899049131,0.260607645943,0.348770708052
5.083,0.0,0.298110932239,0.331631346481,0.286621768003
5.084,0.0,0.297946517593,0.358441707459,0.247289972545
5.085,0.0,0.303736407355,0.301218513554,0.289231910996
5.086,0.0,0.306858375224,0.245090996135,0.350038918498
5.087,0.0,0.302597551947,0.273509872912,0.339295672491
5.088,0.0,0.297428834609,0.344219409673,0.272963523676
5.089,0.0,0.298877147294,0.351985115304,0.249769130136
5.09,0.0,0.304932777514,0.285336763278,0.30414110355
5.091,0.0,0.306494069642,0.243388421803,0.355214429232
5.092,0.0,0.301256529199,0.288524951026,0.327030098456
5.093,0.0,0.297078698001,0.353601748439,0.26151333951
5.094,0.0,0.300041749639,0.341783846817,0.256161155152
5.095,0.0,0.30589832199,0.270734703293,0.318854364566
5.096,0.0,0.305786596493,0.246089345906,0.356375763707
5.097,0.0,0.299974141091,0.304518709912,0.312902260799
5.098,0.0,0.297086450622,0.359079815449,0.253126928236
5.099,0.0,0.301354239858,0.328612460087,0.265976856798
5.1,0.0,0.306511211765,0.258505466697,0.332267588515
5.101,0.0,0.265769598601,0.258708070662,0.347498804949
5.102,0.0,0.197661416224,0.37201298641,0.239725130316
5.103,0.0,0.139828968293,0.482694710228,0.0905285809779
5.104,0.0,0.0988885801041,0.451009956286,0.0486558751922
5.105,0.0,0.0697992332189,0.324463719159,0.110595997376
5.106,0.0,0.0479783423819,0.267827433974,0.13029664314
5.107,0.0,0.0322503702175,0.315549558654,0.0457216218757
5.108,0.0,0.0218259649371,0.332593178335,-0.0331736846294
5.109,0.0,0.0150728377682,0.235332535185,-0.00436057824564
5.11,0.0,0.0104126390607,0.120405123318,0.0684505174362
5.111,0.0,0.00705596631874,0.108733973841,0.0613648635078
5.112,0.0,0.0047463883844,0.160157733751,-0.0174473968888
5.113,0.0,0.00324171522772,0.144959288095,-0.0487034983885
5.114,0.0,0.00224687465972,0.0480125707073,0.00822589762228
5.115,0.0,0.00154545521543,-0.0149709087596,0.0574476746928
5.116,0.0,0.0010466698782,0.0172686120752,0.0213572833017
5.117,0.0,0.000710115381167,0.0606787951161,-0.0417801019103
5.118,0.0,0.000489625648241,0.023026964051,-0.0353789168598
5.119,0.0,0.000339641497598,-0.0547149822401,0.0251409886636
5.12,0.0,0.000232715413759,-0.0695253337232,0.0426731533954
5.121,0.0,0.00015792060261,-0.0182006817852,-0.0079664381368
5.122,0.0,0.000108014085108,0.00346318501439,-0.0458603887966
5.123,0.0,7.48525431338e-005,-0.0469139992624,-0.0143671393649
5.124,0.0,5.17782245059e-005,-0.0968876216867,0.0335784133792
5.125,0.0,3.53646047951e-005,-0.0773261597438,0.0231505538755
5.126,0.0,2.40799780551e-005,-0.0282975363782,-0.0264616014212
5.127,0.0,1.65739295701e-005,-0.0312813685709,-0.0371486856547
5.128,0.0,1.14964189964e-005,-0.0820434665454,0.00491526404207
5.129,0.0,7.91813220384e-006,-0.102461337436,0.0319826441156
5.13,0.0,5.39996353953e-006,-0.0647763358937,0.00342067033822
5.131,0.0,3.69226280827e-006,-0.0311725977306,-0.0337084007203
5.132,0.0,2.55126446068e-006,-0.0531975733398,-0.0220403195283
5.133,0.0,1.76624329912e-006,-0.0935522626668,0.0176089601649
5.134,0.0,1.21155859583e-006,-0.0886758890859,0.0228539913468
5.135,0.0,8.26582323169e-007,-0.0477500262501,-0.0122027037337
5.136,0.0,5.67500289442e-007,-0.0342925601919,-0.0313632818812
5.137,0.0,3.92678817637e-007,-0.0656427804787,-0.00616541013045
5.138,0.0,2.70926761633e-007,-0.0892503406599,0.0222052152264
5.139,0.0,1.85334960416e-007,-0.0674303381974,0.0102072292931
5.14,0.0,1.26681335011e-007,-0.0342130696087,-0.0212319424483
5.141,0.0,8.72516812997e-008,-0.0389139206413,-0.0226728572108
5.142,0.0,6.03292559365e-008,-0.069707977034,0.00639113576662
5.143,0.0,4.14746068428e-008,-0.0754664121745,0.0197206443864
5.144,0.0,2.83421336848e-008,-0.0464609650614,-0.00202375900422
5.145,0.0,1.94226666977e-008,-0.0267723840339,-0.0232934019257
5.146,0.0,1.34007466016e-008,-0.0435363323625,-0.0114195928895
5.147,0.0,9.24610307691e-009,-0.0664240703224,0.0135281025397
5.148,0.0,6.33832892488e-009,-0.0575821837126,0.0126722115963
5.149,0.0,4.33331934511e-009,-0.0300698266047,-0.0109930666
5.15,0.0,2.97699367176e-009,-0.0247823793356,-0.0197240125682
5.151,0.0,2.05445253872e-009,-0.0461403834284,-0.000936962639205
5.152,0.0,1.413736191e-009,-0.0575338698124,0.0150435026722
5.153,0.0,9.67541464191e-010,-0.039879856464,0.00402538395873
5.154,0.0,6.62424596249e-010,-0.0197896003702,-0.0153723120843
5.155,0.0,4.55900051278e-010,-0.0260483142308,-0.0128277578409
5.156,0.0,3.14306187595e-010,-0.0454008492378,0.00653689557941
5.157,0.0,2.15755358518e-010,-0.0453996778765,0.0121468620541
5.158,0.0,1.47600594865e-010,-0.0252616207218,-0.00365838613176
5.159,0.0,1.01234331923e-010,-0.0151498410386,-0.0152809594561
5.16,0.0,6.97272790751e-011,-0.0281046670415,-0.00508217232662
5.161,0.0,4.79893221622e-011,-0.0411092757216,0.0100859149337
5.162,0.0,3.28849881269e-011,-0.0325234863389,0.00677854296499
5.163,0.0,2.25098461797e-011,-0.0151416535164,-0.00873675472805
5.164,0.0,1.54630504469e-011,-0.0145115924397,-0.0118785051125
5.165,0.0,1.06484788403e-011,-0.029034657346,0.00149296414127
5.166,0.0,7.31518301358e-012,-0.0340572275652,0.00997383094148
5.167,0.0,5.00856227948e-012,-0.0210229605351,0.00094395054583
5.168,0.0,3.43220615017e-012,-0.009600545253,-0.0106373601621
5.169,0.0,2.36010185021e-012,-0.0158501949678,-0.00681192860648
5.17,0.0,1.62379244837e-012,-0.0278446268241,0.00569276793569
5.171,0.0,1.11377208548e-012,-0.0256294842496,0.00726200871882
5.172,0.0,7.62566907983e-013,-0.012268199346,-0.00378558296073
5.173,0.0,5.2320066561e-013,-0.0077547271888,-0.00970916061097
