Domain, pload, pgrid
5.357,0.30411780026,0.357720618817
5.358,0.306681157517,0.317773556461
5.359,0.300063723068,0.257471948629
5.36,0.294056720131,0.266017509599
5.361,0.29747227601,0.331176985236
5.362,0.305333831452,0.355834539622
5.363,0.305811694084,0.303252329424
5.364,0.298287974901,0.251084380238
5.365,0.293842967249,0.276722484848
5.366,0.299048182571,0.34239071367
5.367,0.306221211368,0.350127129275
5.368,0.30457130325,0.288455516642
5.369,0.296665484086,0.248539063854
5.37,0.294110866632,0.289804955237
5.371,0.300747928942,0.3510359602
5.372,0.306698253357,0.340906129929
5.373,0.303039484385,0.274543927771
5.374,0.295310206161,0.250122461837
5.375,0.294844904972,0.304210996194
5.376,0.302435430334,0.356303512836
5.377,0.306717251907,0.328796157207
5.378,0.301319693733,0.26261643534
5.379,0.294318766074,0.255763404206
5.38,0.295992449931,0.318764850874
5.381,0.303973849674,0.357680624852
5.382,0.306268544535,0.314674940247
5.383,0.299531038387,0.253617136317
5.384,0.293763238985,0.265048202014
5.385,0.297467293347,0.332279391305
5.386,0.305238126326,0.354987468622
5.387,0.305380574067,0.29959237049
5.388,0.297799063834,0.248259526421
5.389,0.293685328531,0.277262688754
5.39,0.299156055894,0.343659428518
5.391,0.306125996064,0.348382140445
5.392,0.30411652215,0.284680900504
5.393,0.296246445436,0.246971404502
5.394,0.294092416564,0.291456480124
5.395,0.300927162251,0.35199094642
5.396,0.30656648883,0.338338161723
5.397,0.302568293458,0.27106420763
5.398,0.294984157155,0.249863000512
5.399,0.29495591816,0.306523792385
5.4,0.302641690619,0.356610948015
5.401,0.306525225846,0.325599184712
5.402,0.300848699592,0.259769893816
5.403,0.294103526577,0.256719767814
5.404,0.296212310967,0.321294283205
5.405,0.304165070691,0.357154310808
5.406,0.30600625455,0.311116000778
5.407,0.299082643367,0.25165127265
5.408,0.293669508964,0.267020060472
5.409,0.297767055521,0.334626768546
5.41,0.305378427499,0.353575840533
5.411,0.305050565107,0.295971109935
5.412,0.297397980759,0.247322804868
5.413,0.293715513222,0.27997640884
5.414,0.299501357616,0.345498530104
5.415,0.30618839073,0.346147490694
5.416,0.303731753164,0.281296144522
5.417,0.295916588627,0.247113245106
5.418,0.294240152474,0.294597386926
5.419,0.301281370649,0.353083389497
5.42,0.306534404265,0.335432342532
5.421,0.302149490671,0.268187416389
5.422,0.294746036731,0.251039836294
5.423,0.295206315933,0.309765342169
5.424,0.302969066284,0.356812799352
5.425,0.306392925438,0.322238294219
5.426,0.300421535171,0.257624802824
5.427,0.293972184158,0.258805787336
5.428,0.296542908232,0.324323800394
5.429,0.304433709113,0.35641577863
5.43,0.305778315606,0.307555424095
5.431,0.298674970629,0.25039907377
5.432,0.293653004926,0.269821757207
5.433,0.298149435501,0.337167417634
5.434,0.305562736381,0.351935400758
5.435,0.304740609378,0.292481674577
5.436,0.297037269649,0.24705251009
5.437,0.293813983047,0.283250228123
5.438,0.299903330068,0.34732710059
5.439,0.306270906741,0.343721488844
5.44,0.303360645104,0.278141908394
5.441,0.295627643439,0.24783715514
5.442,0.294445467793,0.298069672473
5.443,0.301669540522,0.354043418634
5.444,0.306506828149,0.33240095958
5.445,0.30174321166,0.265605591188
5.446,0.294549043337,0.252694170631
5.447,0.295502393078,0.313153560659
5.448,0.303311552354,0.356822617028
5.449,0.306256343829,0.318828727388
5.45,0.300008916156,0.255808405
5.451,0.293881124123,0.261256473291
5.452,0.296906688376,0.327357790031
5.453,0.304702740558,0.355471240076
5.454,0.305542663497,0.30402316288
5.455,0.298285429449,0.249482994485
5.456,0.293674482517,0.272875137845
5.457,0.298552510535,0.339609264372
5.458,0.305736862769,0.350107341874
5.459,0.304423493983,0.289090810347
5.46,0.296698661994,0.24710373487
5.461,0.293946528038,0.286668090562
5.462,0.300314114153,0.348988252987
5.463,0.306336607037,0.341148242581
5.464,0.302985691759,0.275145478623
5.465,0.295364306306,0.248849796304
5.466,0.294679388742,0.30158759918
5.467,0.30205580617,0.354797824524
5.468,0.306459385824,0.329276558672
5.469,0.301338104217,0.263227010313
5.47,0.29438009275,0.254589779052
5.471,0.295820249064,0.316501251283
5.472,0.303643084523,0.356614979705
5.473,0.306099949877,0.315387653417
5.474,0.299603293065,0.254225056998
5.475,0.293819066605,0.263889775104
5.476,0.297284412451,0.33027976228
5.477,0.304953832218,0.354319898884
5.478,0.305289797772,0.300522669986
5.479,0.297908771118,0.248813036806
5.48,0.293724209155,0.276044927285
5.481,0.298961154658,0.341884267295
5.482,0.305888390703,0.34810172039
5.483,0.304093702982,0.285791957317
5.484,0.296378275226,0.24739706538
5.485,0.294104772625,0.29013255501
5.486,0.300722102981,0.350445831565
5.487,0.30637748443,0.338441218786
5.488,0.302603920107,0.272294057919
5.489,0.29512348686,0.250083943089
5.49,0.294934735637,0.305082922437
5.491,0.302431504733,0.355330745654
5.492,0.306387274647,0.326072453043
5.493,0.300932747613,0.261035577086
5.494,0.294236533728,0.256671177525
5.495,0.296153759966,0.319762002187
5.496,0.303957424508,0.356186624764
5.497,0.30592121173,0.311926782221
5.498,0.299204128164,0.252857235695
5.499,0.293783580113,0.266660507226
5.5,0.297626274151,0.333059382041
5.501,0.268504514863,0.347061337437
5.502,0.209307901127,0.23944951693
5.503,0.147389956255,0.0913226260082
5.504,0.100014607058,0.0498354816837
5.505,0.0702179284743,0.114549321405
5.506,0.0506214903544,0.135702447085
5.507,0.0352366717266,0.0479401176093
5.508,0.0234325032033,-0.0351869980596
5.509,0.015700767641,-0.00467643735091
5.51,0.0110033798683,0.0737604691169
5.511,0.0077762255853,0.0661947804046
5.512,0.00528829379856,-0.0188911943995
5.513,0.00351011465378,-0.0530952383999
5.514,0.00238978419092,0.00900557472451
5.515,0.00168305381626,0.0628331000011
5.516,0.00117239399952,0.0233190733774
5.517,0.000788636503891,-0.0457023660143
5.518,0.000527942038956,-0.0388241179
5.519,0.000364790291902,0.0275799707443
5.52,0.000256460028165,0.046641326655
5.521,0.000176267462601,-0.00868759815128
5.522,0.000118160701186,-0.0500626098083
5.523,8.00510526792e-005,-0.015693415987
5.524,5.58110402444e-005,0.036570958122
5.525,3.89571629034e-005,0.025105883817
5.526,2.64965628529e-005,-0.0286476762799
5.527,1.7807680885e-005,-0.0402360376827
5.528,1.22061294157e-005,0.00531722124793
5.529,8.53184334035e-006,0.0344579888549
5.53,5.89901261658e-006,0.00367179394725
5.531,3.98829337987e-006,-0.036149318623
5.532,2.69834376544e-006,-0.0236323420094
5.533,1.86591818538e-006,0.0188342367196
5.534,1.30071470807e-006,0.0243433741984
5.535,8.91260251753e-007,-0.0129639783518
5.536,6.01887073001e-007,-0.0333066842664
5.537,4.10595746623e-007,-0.00654166630519
5.538,2.85226314713e-007,0.0234868901229
5.539,1.97659270501e-007,0.0107583810004
5.54,1.3455916223e-007,-0.022344529382
5.541,9.11282738915e-008,-0.023855068264
5.542,6.2634185495e-008,0.0067139332813
5.543,4.35233979322e-008,0.0206502435728
5.544,2.9956129936e-008,-0.00211369155464
5.545,2.03303105042e-008,-0.0243118910419
5.546,1.38399997022e-008,-0.0119138033198
5.547,9.56115610148e-009,0.0140849028829
5.548,6.62473401789e-009,0.0131561893918
5.549,4.53291891452e-009,-0.0113946842312
5.55,3.07708787977e-009,-0.0204397732919
5.551,2.10673982343e-009,-0.000970199476133
5.552,1.45842130354e-009,0.0155425952743
5.553,1.00593366188e-009,0.00414973313208
5.554,6.85708592768e-010,-0.0158346806995
5.555,4.66729456328e-010,-0.0132116920164
5.556,3.21054410002e-010,0.006724787654
5.557,2.22103782538e-010,0.0124697156342
5.558,1.52480760991e-010,-0.0037500688017
5.559,1.03804854537e-010,-0.0156597975212
5.56,7.09283147694e-011,-0.00520663256149
5.561,4.89272278469e-011,0.0103185375502
5.562,3.3761945192e-011,0.00692273366227
5.563,2.30941590925e-011,-0.00891536634508
5.564,1.57351593318e-011,-0.0121209546063
5.565,1.07925358268e-011,0.00152260072188
5.566,7.45015618398e-012,0.0101571690013
5.567,5.12406426004e-012,0.000960081000025
5.568,3.49791638782e-012,-0.0108157390378
5.569,2.38864234216e-012,-0.00692589312398
5.57,1.64297887264e-012,0.0057834852037
5.571,1.13303248635e-012,0.00736813033732
5.572,7.768991767e-013,-0.00383792919767
5.573,5.30164361555e-013,-0.00984312306731
5.574,3.6302728055e-013,-0.00171511308407
5.575,2.50056455181e-013,0.00728730217677
5.576,1.72098039561e-013,0.0033799832289
5.577,1.17750160655e-013,-0.00660611861839
5.578,8.043300439e-014,-0.00696994249483
5.579,5.52103502213e-014,0.00230710399948
5.58,3.80310561695e-014,0.00646954599752
5.581,2.61149428621e-014,-0.000494176606178
5.582,1.78504100948e-014,-0.00720192899716
5.583,1.22143512123e-014,-0.00336248138897
5.584,8.39773271222e-015,0.00453987516591
5.585,5.77902943697e-015,0.00418990999461
5.586,3.96067993055e-015,-0.00333241606953
5.587,2.70757062654e-015,-0.0060428542324
5.588,1.85612951693e-015,-5.15332319858e-005
5.589,1.27695563871e-015,0.00496499542902
5.59,8.77445223812e-016,0.00141484380486
5.591,6.00632871522e-016,-0.00471398298767
5.592,4.10969096471e-016,-0.0038559940105
5.593,2.82157042702e-016,0.00227670959093
5.594,1.94067413584e-016,0.00399385312302
5.595,1.3314939997e-016,-0.00103864234972
5.596,9.11077863561e-017,-0.00468260177625
5.597,6.24167567751e-017,-0.00142133324275
5.598,4.28909817852e-017,0.00335155885995
5.599,2.94759325081e-017,0.00225418467988
5.6,2.01997830675e-017,-0.00265491552604
5.601,1.38258098789e-017,-0.0036103912393
5.602,9.48341663227e-018,0.000628865546224
5.603,6.51811726113e-018,0.00327063015635
5.604,4.47469482514e-018,0.000383376410579
5.605,3.06454570633e-018,-0.00325997262
5.606,2.0990726709e-018,-0.00202050647412
5.607,1.44108755678e-018,0.00192161631472
5.608,9.90159409328e-019,0.00237769065724
5.609,6.79082512947e-019,-0.00112478047449
5.61,4.65033263271e-019,-0.0029703287031
5.611,3.18805616953e-019,-0.00042135002755
5.612,2.18968352715e-019,0.00236282324658
5.613,1.5035415823e-019,0.00111492809626
5.614,1.03047344025e-019,-0.00199821610224
5.615,7.05893770816e-020,-0.00208679042651
5.616,4.84302401477e-020,0.000811241937462
5.617,3.32640033274e-020,0.00208498619906
5.618,2.28241130698e-020,-0.000108371085172
5.619,1.56380776037e-020,-0.00219129040678
5.62,1.07183212903e-020,-0.000972861739273
5.621,7.35742056459e-021,0.00148847164233
5.622,5.05180094217e-021,0.00135490603963
5.623,3.46418509747e-021,-0.00100404620104
5.624,2.37361541462e-021,-0.00183453447369
5.625,1.62783332844e-021,4.92054266649e-005
5.626,1.1176188139e-021,0.00160365388099
5.627,7.6702162779e-022,0.000474207240264
5.628,5.25772357131e-022,-0.0014408691426
5.629,3.60357181349e-022,-0.00115595727151
5.63,2.47251334252e-022,0.00076459346353
5.631,1.6974108134e-022,0.00128506026089
5.632,1.16437434532e-022,-0.000301705690222
5.633,7.98050583268e-023,-0.00143346742218
5.634,5.47191911106e-023,-0.000400206513003
5.635,3.75547391381e-023,0.00108860515735
5.636,2.57749568846e-023,0.000729194983404
5.637,1.76743709014e-023,-0.000811947248055
5.638,1.21150207565e-023,-0.00109950439538
5.639,8.30998869024e-024,0.000234551928949
5.64,5.70365531474e-024,0.00105210372652
5.641,3.9132765302e-024,0.000135706839976
5.642,2.68287582426e-024,-0.0010030048195
5.643,1.83942624174e-024,-0.000603773615436
5.644,1.262061812e-024,0.000631679689319
5.645,8.66138443729e-025,0.00076321649427
5.646,5.94074550376e-025,-0.000340983394889
5.647,4.07276577204e-025,-0.0009125725234
5.648,2.79313441777e-025,-0.00010603693261
5.649,1.91668097786e-025,0.000762176299938
5.65,1.31512581788e-025,0.000360852358097
5.651,9.0183732085e-026,-0.000616303129476
5.652,6.18332915044e-026,-0.000635970379692
5.653,4.2416062935e-026,0.000275928442227
5.654,2.91063818886e-026,0.000668167153855
5.655,1.99666989988e-026,-2.66597595204e-005
5.656,1.36907268977e-026,-0.000676895512011
5.657,9.38852314316e-027,-0.000287813272749
5.658,6.44131533113e-027,0.00048330751955
5.659,4.41965628761e-027,0.000433806195479
