Domain, vgvsc, vcpl
20.714,1.08388397538,1.07743017293
20.715,1.0850854653,1.08220617441
20.716,1.08532004205,1.08995148993
20.717,1.08580148351,1.08990518728
20.718,1.08639787007,1.08405449812
20.719,1.08616902541,1.08208190026
20.72,1.08500905897,1.08566522636
20.721,1.08374940298,1.08742189166
20.722,1.08283229138,1.08357147174
20.723,1.08178347461,1.07903943085
20.724,1.0801369988,1.07866207798
20.725,1.07818190062,1.08001879693
20.726,1.07644528248,1.07833431266
20.727,1.07490134826,1.07406092062
20.728,1.07313701835,1.07134344325
20.729,1.07106398775,1.07121754388
20.73,1.06901949439,1.07061382582
20.731,1.06720970442,1.06766923952
20.732,1.06544087134,1.06432636722
20.733,1.06349191246,1.06279392615
20.734,1.06146215429,1.06220907303
20.735,1.05957848443,1.06046124501
20.736,1.0578427033,1.0575709314
20.737,1.0560741593,1.05530367469
20.738,1.05421685642,1.05423727887
20.739,1.05240670609,1.05310379697
20.74,1.05073922574,1.05100433848
20.741,1.04913635565,1.04869434239
20.742,1.04749496063,1.04717416138
20.743,1.04584702246,1.04615207784
20.744,1.04428990568,1.04470149515
20.745,1.04283019831,1.0427560959
20.746,1.0413895658,1.04106322009
20.747,1.03993638841,1.03992723452
20.748,1.03852486704,1.03882903005
20.749,1.0371988376,1.0373422713
20.75,1.03592725584,1.03575498711
20.751,1.03466255242,1.03451637001
20.752,1.03341368499,1.03353664383
20.753,1.03222247119,1.03243377399
20.754,1.0310978299,1.03115293999
20.755,1.0300119068,1.02996183225
20.756,1.02894854905,1.02900238914
20.757,1.02792366276,1.02810345541
20.758,1.02695318503,1.02709040904
20.759,1.02602622162,1.02604530592
20.76,1.0251229534,1.02513757945
20.761,1.02424295255,1.02435303304
20.762,1.02339981533,1.02354434402
20.763,1.0225959695,1.02267199506
20.764,1.02181873863,1.02184237667
20.765,1.02105983539,1.02112137177
20.766,1.02032506529,1.02044113031
20.767,1.01962143939,1.01972303982
20.768,1.01894487487,1.01899536422
20.769,1.01828672871,1.01833078526
20.77,1.01764609357,1.01772871741
20.771,1.01702848141,1.01712778376
20.772,1.01643524633,1.01650689172
20.773,1.01586115124,1.01590843338
20.774,1.01530226193,1.01536274743
20.775,1.01476056176,1.01484399332
20.776,1.01423898041,1.01431768291
20.777,1.01373594368,1.01379271985
20.778,1.01324765005,1.01329954414
20.779,1.01277330309,1.01284010078
20.78,1.01231497159,1.01238922774
20.781,1.01187323964,1.01193623037
20.782,1.0114458765,1.01149751082
20.783,1.01103096685,1.01108659584
20.784,1.01062903898,1.01069383228
20.785,1.01024119778,1.01030427218
20.786,1.00986675668,1.00992026731
20.787,1.00950398377,1.00955427026
20.788,1.00915229168,1.00920790254
20.789,1.00881234987,1.00887092709
20.79,1.00848432379,1.008538083
20.791,1.00816719809,1.00821550454
20.792,1.00785999601,1.00790903623
20.793,1.00756273787,1.00761509576
20.794,1.00727575792,1.00732722999
20.795,1.00699869122,1.00704577927
20.796,1.00673069742,1.00677570257
20.797,1.00647136507,1.00651793251
20.798,1.00622082739,1.00626829397
20.799,1.00597905872,1.00602423222
20.8,1.00574554618,1.00578792787
20.801,1.00551975693,1.00556181366
20.802,1.00530156193,1.00534453616
